Date,Open,High,Low,Close*,Adj Close**,Volume
"Feb 07, 2022","4,505.75","4,590.03","4,401.41","4,418.64","4,418.64","19,119,200,000"
"Jan 31, 2022","4,431.79","4,595.31","4,414.02","4,500.53","4,500.53","18,846,100,000"
"Jan 24, 2022","4,356.32","4,453.23","4,222.62","4,431.85","4,431.85","21,218,590,000"
"Jan 17, 2022","4,632.24","4,632.24","4,395.34","4,397.94","4,397.94","14,131,200,000"
"Jan 10, 2022","4,655.34","4,748.83","4,582.24","4,662.85","4,662.85","17,126,800,000"
"Jan 03, 2022","4,778.14","4,818.62","4,662.74","4,677.03","4,677.03","16,800,900,000"
"Dec 27, 2021","4,733.99","4,808.93","4,733.99","4,766.18","4,766.18","11,687,720,000"
"Dec 20, 2021","4,587.90","4,740.74","4,531.10","4,725.79","4,725.79","10,594,350,000"
"Dec 13, 2021","4,710.30","4,731.99","4,600.22","4,620.64","4,620.64","19,184,960,000"
"Dec 06, 2021","4,548.37","4,713.57","4,540.51","4,712.02","4,712.02","15,411,530,000"
"Nov 29, 2021","4,628.75","4,672.95","4,495.12","4,538.43","4,538.43","20,242,840,000"
"Nov 22, 2021","4,712.00","4,743.83","4,585.43","4,594.62","4,594.62","11,775,840,000"
"Nov 15, 2021","4,689.30","4,717.75","4,672.78","4,697.96","4,697.96","15,279,660,000"
"Nov 08, 2021","4,701.48","4,714.92","4,630.86","4,682.85","4,682.85","15,646,510,000"
"Nov 01, 2021","4,610.62","4,718.50","4,595.06","4,697.53","4,697.53","16,397,220,000"
"Oct 25, 2021","4,553.69","4,608.08","4,537.36","4,605.38","4,605.38","16,206,040,000"
"Oct 18, 2021","4,463.72","4,559.67","4,447.47","4,544.90","4,544.90","13,966,070,000"
"Oct 11, 2021","4,385.44","4,475.82","4,329.92","4,471.37","4,471.37","13,758,090,000"
"Oct 04, 2021","4,348.84","4,429.97","4,278.94","4,391.34","4,391.34","14,795,520,000"
"Sep 27, 2021","4,442.12","4,457.30","4,288.52","4,357.04","4,357.04","15,555,390,000"
"Sep 20, 2021","4,402.95","4,465.40","4,305.91","4,455.48","4,455.48","15,697,030,000"
"Sep 13, 2021","4,474.81","4,492.99","4,427.76","4,432.99","4,432.99","17,763,120,000"
"Sep 06, 2021","4,535.38","4,535.38","4,457.66","4,458.58","4,458.58","11,793,790,000"
"Aug 30, 2021","4,513.76","4,545.85","4,513.76","4,535.43","4,535.43","14,256,180,000"
"Aug 23, 2021","4,450.29","4,513.33","4,450.29","4,509.37","4,509.37","14,124,930,000"
"Aug 16, 2021","4,461.65","4,480.26","4,367.73","4,441.67","4,441.67","14,544,990,000"
"Aug 09, 2021","4,437.77","4,468.37","4,424.74","4,468.00","4,468.00","13,718,270,000"
"Aug 02, 2021","4,406.86","4,440.82","4,373.00","4,436.52","4,436.52","15,182,090,000"
"Jul 26, 2021","4,409.58","4,429.97","4,372.51","4,395.26","4,395.26","14,952,430,000"
"Jul 19, 2021","4,296.40","4,415.18","4,233.13","4,411.79","4,411.79","17,267,170,000"
"Jul 12, 2021","4,372.41","4,393.68","4,322.53","4,327.16","4,327.16","15,756,840,000"
"Jul 05, 2021","4,356.46","4,371.60","4,289.37","4,369.55","4,369.55","12,813,860,000"
"Jun 28, 2021","4,284.90","4,355.43","4,274.67","4,352.34","4,352.34","15,859,180,000"
"Jun 21, 2021","4,173.40","4,286.12","4,173.40","4,280.70","4,280.70","19,163,010,000"
"Jun 14, 2021","4,248.31","4,257.16","4,164.40","4,166.45","4,166.45","20,949,640,000"
"Jun 07, 2021","4,229.34","4,249.74","4,208.41","4,247.44","4,247.44","18,389,070,000"
"May 31, 2021","4,216.52","4,234.12","4,167.93","4,229.89","4,229.89","17,050,410,000"
"May 24, 2021","4,170.16","4,218.36","4,170.16","4,204.11","4,204.11","19,443,140,000"
"May 17, 2021","4,169.92","4,188.72","4,061.41","4,155.86","4,155.86","16,716,150,000"
"May 10, 2021","4,228.29","4,236.39","4,056.88","4,173.85","4,173.85","17,946,860,000"
"May 03, 2021","4,191.98","4,238.04","4,128.59","4,232.60","4,232.60","21,049,220,000"
"Apr 26, 2021","4,185.03","4,218.78","4,174.85","4,181.17","4,181.17","19,777,170,000"
"Apr 19, 2021","4,179.80","4,194.17","4,118.38","4,180.17","4,180.17","19,795,190,000"
"Apr 12, 2021","4,124.71","4,191.31","4,114.82","4,185.47","4,185.47","19,468,590,000"
"Apr 05, 2021","4,034.44","4,129.48","4,034.44","4,128.80","4,128.80","19,677,100,000"
"Mar 29, 2021","3,969.31","4,020.63","3,943.25","4,019.87","4,019.87","17,439,630,000"
"Mar 22, 2021","3,916.48","3,978.19","3,853.50","3,974.54","3,974.54","24,132,360,000"
"Mar 15, 2021","3,942.96","3,983.87","3,886.75","3,913.10","3,913.10","25,796,900,000"
"Mar 08, 2021","3,844.39","3,960.27","3,819.25","3,943.34","3,943.34","26,945,080,000"
"Mar 01, 2021","3,842.51","3,914.50","3,723.34","3,841.94","3,841.94","30,700,830,000"
"Feb 22, 2021","3,885.55","3,928.65","3,789.54","3,811.15","3,811.15","31,119,200,000"
"Feb 15, 2021","3,939.61","3,950.43","3,885.03","3,906.71","3,906.71","19,353,010,000"
"Feb 08, 2021","3,892.59","3,937.23","3,884.94","3,934.83","3,934.83","22,694,360,000"
"Feb 01, 2021","3,731.17","3,894.56","3,725.62","3,886.83","3,886.83","25,430,390,000"
"Jan 25, 2021","3,851.68","3,870.90","3,694.12","3,714.24","3,714.24","36,413,520,000"
"Jan 18, 2021","3,781.88","3,861.45","3,780.37","3,841.47","3,841.47","19,099,620,000"
"Jan 11, 2021","3,803.14","3,823.60","3,749.62","3,768.25","3,768.25","24,551,330,000"
"Jan 04, 2021","3,764.61","3,826.69","3,662.71","3,824.68","3,824.68","25,484,320,000"
"Dec 28, 2020","3,723.03","3,760.20","3,723.03","3,756.07","3,756.07","13,232,200,000"
"Dec 21, 2020","3,684.28","3,711.24","3,636.48","3,703.06","3,703.06","14,413,820,000"
"Dec 14, 2020","3,675.27","3,726.70","3,645.84","3,709.41","3,709.41","24,265,420,000"
"Dec 07, 2020","3,694.73","3,712.39","3,633.40","3,663.46","3,663.46","23,533,560,000"
"Nov 30, 2020","3,634.18","3,699.20","3,594.39","3,699.12","3,699.12","26,902,810,000"
"Nov 23, 2020","3,566.82","3,644.31","3,552.77","3,638.35","3,638.35","18,984,870,000"
"Nov 16, 2020","3,600.16","3,628.51","3,543.84","3,557.54","3,557.54","23,922,170,000"
"Nov 09, 2020","3,583.04","3,645.99","3,511.91","3,585.15","3,585.15","28,790,600,000"
"Nov 02, 2020","3,296.20","3,529.05","3,279.74","3,509.44","3,509.44","22,988,840,000"
"Oct 26, 2020","3,441.42","3,441.42","3,233.94","3,269.96","3,269.96","22,808,450,000"
"Oct 19, 2020","3,493.66","3,502.42","3,415.34","3,465.39","3,465.39","19,895,410,000"
"Oct 12, 2020","3,500.02","3,549.85","3,440.89","3,483.81","3,483.81","19,268,280,000"
"Oct 05, 2020","3,367.27","3,482.34","3,354.54","3,477.14","3,477.14","19,733,380,000"
"Sep 28, 2020","3,333.90","3,397.18","3,323.69","3,348.42","3,348.42","20,352,550,000"
"Sep 21, 2020","3,285.57","3,323.35","3,209.45","3,298.46","3,298.46","21,547,840,000"
"Sep 14, 2020","3,363.56","3,428.92","3,292.40","3,319.47","3,319.47","24,034,260,000"
"Sep 07, 2020","3,371.88","3,425.55","3,310.47","3,340.97","3,340.97","16,483,130,000"
"Aug 31, 2020","3,509.73","3,588.11","3,349.63","3,426.96","3,426.96","22,040,710,000"
"Aug 24, 2020","3,418.09","3,509.23","3,413.13","3,508.01","3,508.01","18,887,790,000"
"Aug 17, 2020","3,380.86","3,399.96","3,354.69","3,397.16","3,397.16","18,785,350,000"
"Aug 10, 2020","3,356.04","3,387.89","3,326.44","3,372.85","3,372.85","20,016,990,000"
"Aug 03, 2020","3,288.26","3,352.54","3,284.53","3,351.28","3,351.28","22,369,880,000"
"Jul 27, 2020","3,219.84","3,272.17","3,204.13","3,271.12","3,271.12","22,039,370,000"
"Jul 20, 2020","3,224.29","3,279.99","3,200.05","3,215.63","3,215.63","20,959,710,000"
"Jul 13, 2020","3,205.08","3,238.28","3,127.66","3,224.73","3,224.73","21,991,770,000"
"Jul 06, 2020","3,155.29","3,186.82","3,115.70","3,185.04","3,185.04","23,572,210,000"
"Jun 29, 2020","3,018.59","3,165.81","2,999.74","3,130.01","3,130.01","17,793,010,000"
"Jun 22, 2020","3,094.42","3,154.90","3,004.63","3,009.05","3,009.05","27,870,950,000"
"Jun 15, 2020","2,993.76","3,155.53","2,965.66","3,097.74","3,097.74","28,876,100,000"
"Jun 08, 2020","3,199.92","3,233.13","2,984.47","3,041.31","3,041.31","34,241,980,000"
"Jun 01, 2020","3,038.78","3,211.72","3,031.54","3,193.93","3,193.93","30,895,920,000"
"May 25, 2020","3,004.08","3,068.67","2,969.75","3,044.31","3,044.31","24,886,040,000"
"May 18, 2020","2,913.86","2,980.29","2,913.86","2,955.45","2,955.45","25,246,330,000"
"May 11, 2020","2,915.46","2,945.82","2,766.64","2,863.70","2,863.70","27,177,120,000"
"May 04, 2020","2,815.01","2,932.16","2,797.85","2,929.80","2,929.80","24,736,450,000"
"Apr 27, 2020","2,854.65","2,954.86","2,821.61","2,830.71","2,830.71","28,763,560,000"
"Apr 20, 2020","2,845.62","2,868.98","2,727.10","2,836.74","2,836.74","26,476,650,000"
"Apr 13, 2020","2,782.46","2,879.22","2,721.17","2,874.56","2,874.56","27,017,230,000"
"Apr 06, 2020","2,578.28","2,818.57","2,574.57","2,789.82","2,789.82","27,169,090,000"
"Mar 30, 2020","2,558.98","2,641.39","2,447.49","2,488.65","2,488.65","30,804,590,000"
"Mar 23, 2020","2,290.71","2,637.01","2,191.86","2,541.47","2,541.47","37,182,690,000"
"Mar 16, 2020","2,508.59","2,562.98","2,280.52","2,304.92","2,304.92","41,887,220,000"
"Mar 09, 2020","2,863.89","2,882.59","2,478.86","2,711.02","2,711.02","40,521,170,000"
"Mar 02, 2020","2,974.28","3,136.72","2,901.54","2,972.37","2,972.37","29,895,510,000"
