,Returns
23779,-0.003224766204450223
10284,1.1623870660960531
8750,-0.2926829268292683
7665,6.743169398907105
13901,-0.9581207482993197
21927,-0.17837837837837833
21548,1.4356435643564358
5820,-0.07486925406000548
2491,0.5305676855895196
14546,4.541666666666667
8214,-0.10397830018083186
22016,0.10526315789473695
25379,-0.46376811594202905
4805,0.9409884435701991
9272,2.6768817204301074
22498,1.9690476190476187
28148,0.20178041543026698
8831,-0.08505018489170625
20628,-0.0851202079272255
3824,0.3488118142582288
12032,0.5170428374021189
4052,-0.0667433831990794
12996,0.9790476190476192
22847,1.078125
25645,0.45400973610043555
28322,0.10644659729697412
6349,0.2883923340865344
5094,-0.13484441029581257
9411,0.8918507235338917
22564,0.18989310009718163
28103,0.9262295081967213
23409,1.4062144751799923
14401,-0.5718918918918918
7352,1.0525059665871122
2278,-0.24797570850202438
17811,-0.5351629502572898
7511,-0.44231713303878256
13452,0.13746630727762804
16187,0.24105554457402634
29240,0.5448885318337016
15854,0.34647887323943655
18790,0.01938887366401743
6058,0.025271670457417236
4951,-0.1422724750277469
3313,-0.01279470960322025
17224,-0.7647058823529411
26812,0.11232876712328771
27053,0.08579881656804735
7377,0.17772128495493408
4201,0.9593220338983051
1729,0.4203561283170511
19277,0.282442748091603
27371,0.12474297464016441
28925,-0.12888482632541134
1685,0.14127423822714688
20668,0.6870028011204482
16192,-0.0813296148337981
3834,0.13712938005390837
8271,-0.09359331476323127
24550,0.10020546862652119
16075,-0.344679186228482
2766,0.24494579548784057
15007,0.6139088729016788
4998,-0.20933333333333337
29417,-0.09404990403071017
28557,0.20385833573279602
16838,0.5031347962382445
3384,0.16286438529784522
14275,-0.2854545454545454
22343,-0.5779685264663805
10282,7.042735042735043
10475,-0.2224915172079496
15209,-0.16390328151986186
598,0.35211267605633817
382,-0.1118240146654446
4137,0.651708844247326
20246,-0.14750762970498482
1917,0.8015686274509803
531,0.43958333333333344
18332,3.517846693973083
20184,-0.780440414507772
16973,-0.33770491803278685
27848,-0.1735682819383259
9064,0.035372792866780085
20712,0.3180139069969578
13014,0.046026959914863406
3814,-0.08670849971477464
21883,1.6485623003194887
20044,-0.3010471204188482
17920,0.21280379371665686
8317,-0.3985507246376812
3371,0.5250869349230005
25214,-0.18996710526315785
9640,0.626076446593141
26992,-0.09097834090851378
245,0.506601087237898
12474,0.5559788359788359
19555,1.4567078972407232
9479,0.13588995414756155
15270,0.5414648047876888
9786,0.9028697571743927
3425,0.08821052631578942
12556,0.2450160771704179
15309,0.1516552616977992
16986,0.11788079470198672
24140,-0.14495631453534547
15872,-0.18226600985221672
19947,-0.375
23321,-0.03676590206604845
28234,0.05747619456120789
13603,0.13287048120660752
15341,0.2116801330798479
2604,-0.7283316204179514
14991,-0.07456515540347881
15390,0.6024603431531239
27828,0.059055118110236185
12058,-0.4914572864321608
21181,0.671858774662513
13958,0.0724952484387728
22127,-0.4285714285714285
19085,11.745154343144293
10323,0.6034199276553764
5829,-0.16079295154185022
24315,1.920447074293228
3109,-0.5039465029598772
23525,0.49268292682926845
12210,0.3622754491017965
3860,0.181794333683106
17491,0.4598632109431245
2992,-0.3971428571428572
19089,1.6770186335403725
16590,-0.01420345489443382
26553,-0.34057971014492744
24222,0.12962962962962957
20673,-0.09369303682099892
11952,-0.7612826603325415
28959,0.13075670072560341
13847,-0.47619047619047616
28238,0.2746355685131196
16567,0.03472332329158086
25453,-0.5459352280237939
9100,0.6007194244604316
11483,0.37923728813559326
2715,0.9579831932773111
27456,0.04744136460554374
23942,0.596153846153846
25220,-0.07964601769911513
22878,0.5839753466872112
19475,0.06537102473498237
9045,-0.07359667359667357
20920,0.9124433901229245
13991,0.10133708655876139
11874,0.3525120723312441
16846,2.2164948453608244
18036,-0.24635979333020186
15088,1.1192528735632183
24480,0.31218905472636804
20755,-0.7630841121495328
25725,-0.26798917944093775
22945,0.8811186268092223
14945,-0.33011335633316913
4374,-0.17079975201487907
16581,0.13571510101586579
18399,0.23444383539395408
14272,0.08695652173913052
28064,-0.782798833819242
23027,0.4413845376452755
5535,0.6709163346613544
17871,-0.34608487746563066
11118,-0.15000000000000002
6165,-0.8046380885453268
7497,-0.5529100529100529
7982,-0.4733197556008147
27213,0.04197743354369861
6311,-0.23837870962094024
15878,1.3179487179487177
18424,-0.0826848249027237
7590,0.06207627118644067
22166,-0.8849765258215962
5216,1.2572867938107233
20723,1.8814061838204152
5870,0.30431324564086887
7780,0.4184610512982902
18600,-0.5858736059479553
12730,0.3207831325301204
22020,-0.3202419895164151
24311,0.4666666666666667
17923,0.16293597084851627
16059,-0.29970418807410876
23631,-0.6929133858267716
13717,0.7790697674418604
14030,-0.08637189582071467
3677,0.9138461538461538
6790,0.5356415478615071
22774,2.9591194968553456
17561,0.7266793009054537
28222,0.4373935579415031
6923,-0.24610111396743786
10848,-0.18727015558698729
21774,0.8980891719745222
22670,0.3067235859124866
12836,0.31038561627631883
16677,-0.608294930875576
25738,0.11621621621621626
8447,0.01936619718309865
29353,-0.10192023633677999
23495,0.1559220389805096
12014,0.010869565217391127
6591,-0.9017857142857142
23448,-0.65
2610,-0.34045635639261135
26825,-0.1341772151898734
24291,0.20597014925373133
279,1.0
10741,-0.017391304347826105
9089,0.019651464590285547
1552,1.0529538308787028
5065,-0.12057335581787519
23141,0.10392609699769054
3140,-0.012455733300769276
1123,-0.0884396715097916
4031,0.31963190184049084
19263,-0.27360774818401934
6812,0.3349633251833741
11468,-0.4049046321525886
