,Ticker1,Open1,Date1,Volume1,Ticker2,Open2,Date2,Volume2
11755,ESCA,13.2,2016-12-31,17041.0,ESCA,12.5,2017-12-31,11519.0
11756,ESCA,12.77,2017-03-31,19546.0,ESCA,13.78,2018-03-31,8259.0
11757,ESCA,13.05,2017-06-30,2515.0,ESCA,14.15,2018-06-30,16899.0
11758,ESCA,13.75,2017-09-30,10725.0,ESCA,12.85,2018-09-30,9638.0
11759,ESCA,12.5,2017-12-31,11519.0,ESCA,11.58,2018-12-31,9248.0
11760,ESCA,13.78,2018-03-31,8259.0,ESCA,11.11,2019-03-31,11829.0
11761,ESCA,14.15,2018-06-30,16899.0,ESCA,11.39,2019-06-30,7301.0
11762,ESCA,12.85,2018-09-30,9638.0,ESCA,10.84,2019-09-30,7627.0
11763,ESCA,11.58,2018-12-31,9248.0,ESCA,9.69,2019-12-31,27878.0
11764,ESCA,11.11,2019-03-31,11829.0,ESCA,5.91,2020-03-31,47181.0
11765,ESCA,11.39,2019-06-30,7301.0,ESCA,14.05,2020-06-30,83925.0
11766,ESCA,10.84,2019-09-30,7627.0,ESCA,18.51,2020-09-30,25627.0
11767,ESCA,9.69,2019-12-31,27878.0,ESCA,22.21,2020-12-31,26660.0
11768,ESCA,5.91,2020-03-31,47181.0,ESCA,21.36,2021-03-31,64180.0
11769,ESCA,14.05,2020-06-30,83925.0,ESCA,23.0,2021-06-30,16815.0
11770,ESCA,18.51,2020-09-30,25627.0,ESCA,,,
11771,ESCA,22.21,2020-12-31,26660.0,ESCA,,,
11772,ESCA,21.36,2021-03-31,64180.0,ESCA,,,
11773,ESCA,23.0,2021-06-30,16815.0,ESCA,,,
11774,ESI,8.16,2016-09-30,5189200.0,ESI,11.15,2017-09-30,5800381.0
11775,ESI,9.9,2016-12-31,2129036.0,ESI,10.01,2017-12-31,4459205.0
11776,ESI,13.04,2017-03-31,1047316.0,ESI,9.6,2018-03-31,2309119.0
11777,ESI,12.79,2017-06-30,1324325.0,ESI,11.46,2018-06-30,2541162.0
11778,ESI,11.15,2017-09-30,5800381.0,ESI,12.57,2018-09-30,2014041.0
11779,ESI,10.01,2017-12-31,4459205.0,ESI,10.24,2018-12-31,1983761.0
11780,ESI,9.6,2018-03-31,2309119.0,ESI,10.2,2019-03-31,2135367.0
