,Ticker,Returns
124,AAPL,0.15947676036738093
125,AAPL,0.2725006923289948
126,AAPL,0.4779564315352697
127,AAPL,-0.06840620592383631
128,AAPL,0.1500240038406145
129,AAPL,0.10533188248095747
130,AAPL,-0.030882610984383312
131,AAPL,0.8289174867524602
132,AAPL,0.308495094969735
133,AAPL,0.7387280960819059
134,AAPL,1.0740539561832338
135,AAPL,0.8705849889624725
136,AAPL,0.9037558685446011
137,AAPL,0.5126638524772272
138,AAPL,
139,AAPL,
140,AAPL,
141,AAPL,
142,AAWW,0.5552668871043928
143,AAWW,0.1226053639846743
144,AAWW,0.07935076645626687
145,AAWW,0.3858961802154751
146,AAWW,-0.028246013667425855
147,AAWW,-0.2863481228668942
148,AAWW,-0.1443609022556391
149,AAWW,-0.3601413427561837
150,AAWW,-0.6118143459915613
151,AAWW,-0.36752749880439983
152,AAWW,-0.5588752196836555
153,AAWW,-0.12591119946984763
154,AAWW,1.4967793880837361
155,AAWW,1.0415879017013232
156,AAWW,1.6645824028584186
157,AAWW,0.6840679635557745
158,AAWW,
159,AAWW,
160,AAWW,
161,AAWW,
162,ABAX,-0.11654874213836477
163,ABAX,-0.06805790562135736
164,ABAX,0.4613471502590675
165,ABAX,0.5681088229737389
166,ABAX,
167,ABAX,
168,ABAX,
169,ABBV,0.43194510930269653
170,ABBV,0.5438652256834074
171,ABBV,0.4359914451573481
172,ABBV,0.2685682789031282
173,ABBV,0.055716514374860714
174,ABBV,-0.057031089149680934
175,ABBV,-0.1385106382978723
176,ABBV,-0.20160764718661744
177,ABBV,-0.20888748152839343
178,ABBV,-0.03700873362445416
179,ABBV,-0.09212151148431721
180,ABBV,0.3129251700680272
181,ABBV,0.16224149432955298
182,ABBV,0.1915882552998527
183,ABBV,0.4175066312997346
184,ABBV,0.16921954777534642
185,ABBV,
186,ABBV,
187,ABBV,
188,ABBV,
189,ABC,0.020666748677574023
190,ABC,0.17373582983059482
191,ABC,-0.031169123438730843
192,ABC,-0.10680429745102171
193,ABC,0.11787393033626614
194,ABC,-0.19598480737927293
195,ABC,-0.0703832752613239
196,ABC,0.011556603773584953
197,ABC,-0.12668463611859837
198,ABC,0.12538804157106212
199,ABC,0.043603198400799535
200,ABC,0.16122639309862435
201,ABC,0.2033333333333333
202,ABC,0.16586711441592708
203,ABC,0.34519492293744347
204,ABC,0.1612968591691996
205,ABC,
206,ABC,
207,ABC,
208,ABC,
209,ABCD,0.2387218045112781
210,ABCD,0.11999999999999993
211,ABCD,1.2808080808080806
212,ABCD,1.2131474103585658
213,ABCD,0.7921092564491655
214,ABCD,
215,ABCD,
216,ABCD,
217,ABCD,
